0,1
Datasets/LJSpeech-1.1/wavs/LJ047-0199.wav,the secret service and the fbi differ
Datasets/LJSpeech-1.1/wavs/LJ034-0051.wav,and a dallas police officer after the cartons had been processed with powder by the dallas police
Datasets/LJSpeech-1.1/wavs/LJ032-0071.wav,oswald's use of the name hidell to purchase the assassination weapon was one of several instances in which he used this name as an alias
Datasets/LJSpeech-1.1/wavs/LJ042-0145.wav,in general our family life began to deteriorate after we arrived in america
Datasets/LJSpeech-1.1/wavs/LJ030-0177.wav,mrs connally too heard a frightening noise from her right
Datasets/LJSpeech-1.1/wavs/LJ006-0118.wav,he made collections when it suited him for ward purposes to be spent as he chose in candles and so forth
Datasets/LJSpeech-1.1/wavs/LJ003-0287.wav,to undertake some kind of reform
Datasets/LJSpeech-1.1/wavs/LJ035-0178.wav,sgt d v harkness of the dallas police
Datasets/LJSpeech-1.1/wavs/LJ009-0168.wav,robbery burglary and arson
Datasets/LJSpeech-1.1/wavs/LJ021-0122.wav,has been far less than in any previous comparable period
Datasets/LJSpeech-1.1/wavs/LJ010-0102.wav,the guards headed by lord adolphus fitz clarence now reinforced the police and the conspirators gave way
Datasets/LJSpeech-1.1/wavs/LJ036-0107.wav,because he was bawling out the policeman telling them it wasn't right to put him in line with these teenagers and all of that
Datasets/LJSpeech-1.1/wavs/LJ004-0240.wav,he left newgate utterly corrupted and after lapsing into crime soon returned with a very different character
Datasets/LJSpeech-1.1/wavs/LJ002-0085.wav,security was provided for in these condemned cells by lining the substantial stone walls with planks studded with broadheaded nails
Datasets/LJSpeech-1.1/wavs/LJ049-0129.wav,while the cia has the primary responsibility for collecting intelligence overseas to supplement information acquired by the department of state
Datasets/LJSpeech-1.1/wavs/LJ049-0122.wav,fbi director j edgar hoover who strongly supports such legislation testified that the absence of clear federal jurisdiction
Datasets/LJSpeech-1.1/wavs/LJ007-0152.wav,having thus passed his time he returns a greater adept in crime with a wider acquaintance among criminals and what perhaps is even more injurious to him
Datasets/LJSpeech-1.1/wavs/LJ027-0145.wav,that such a recapitulation in the life history of an existing animal of developmental changes successively distinctive of sundry allied
Datasets/LJSpeech-1.1/wavs/LJ026-0026.wav,as in the liquefaction of gases there is a critical point at which the substance under experiment is neither gaseous nor liquid
Datasets/LJSpeech-1.1/wavs/LJ019-0297.wav,the prisoners intercommunicated freely and exercised the most injurious corrupting influences upon one another
Datasets/LJSpeech-1.1/wavs/LJ003-0257.wav,searches were made certainly but they were too often superficial or they might be evaded by a trifling bribe
Datasets/LJSpeech-1.1/wavs/LJ014-0174.wav,but it was supposed that he had been once in a good position well born and well educated
Datasets/LJSpeech-1.1/wavs/LJ011-0292.wav,there was no furniture in the place and the den in the kitchen had been recently and specially constructed of boards of immense strength and thickness
Datasets/LJSpeech-1.1/wavs/LJ010-0215.wav,this letter went on to say that a new member had been introduced by lt mars a fine tall gentlemanly young man
Datasets/LJSpeech-1.1/wavs/LJ039-0115.wav,major anderson said quote when he fired that two twelve
Datasets/LJSpeech-1.1/wavs/LJ046-0139.wav,to refer all communications on identified existing cases and in addition
